,ID,Account,Molecule,Winning_price_per_standard_unit,Province,Region,Tender_Type,Length_of_contract_in_Months,Presentation,Start_date
0,226,Account95,Molecule3,1.56353,Provice21,Region6,Tender Type1,36,Presentation8,2009-01-01
18,306,Account89,Molecule3,11.07,Provice35,Region19,Tender Type1,36,Presentation9,2008-01-02
19,307,Account53,Molecule3,11.24,Provice9,Region8,Tender Type1,36,Presentation9,2008-01-04
20,308,Account12,Molecule3,11.19,Provice2,Region2,Tender Type1,24,Presentation9,2008-01-05
21,309,Account16,Molecule3,11.25,Provice1,Region1,Tender Type4,36,Presentation9,2008-01-05
22,310,Account103,Molecule3,11.19,Provice22,Region5,Tender Type1,36,Presentation9,2008-02-07
23,311,Account17,Molecule3,11.24,Provice22,Region5,Tender Type1,48,Presentation9,2008-11-09
24,312,Account5,Molecule3,11.05943,Provice36,Region1,Tender Type1,36,Presentation9,2008-09-15
25,313,Account56,Molecule3,11.097,Provice3,Region3,Tender Type1,12,Presentation9,2008-09-18
26,314,Account119,Molecule3,11.12,Provice13,Region10,Tender Type1,24,Presentation9,2008-09-26
27,315,Account72,Molecule3,11.24,Provice37,Region5,Tender Type1,36,Presentation9,2008-01-10
28,316,Account100,Molecule3,11.14,Provice29,Region1,Tender Type1,36,Presentation9,2008-01-10
29,317,Account55,Molecule3,11.189057,Provice38,Region19,Tender Type1,36,Presentation9,2008-10-23
30,318,Account71,Molecule3,11.1373,Provice39,Region14,Tender Type1,36,Presentation9,2008-01-11
31,319,Account39,Molecule3,11.14,Provice2,Region2,Tender Type1,36,Presentation9,2009-01-01
32,320,Account78,Molecule3,11.2578,Provice40,Region16,Tender Type4,12,Presentation9,2009-01-01
33,321,Account95,Molecule3,11.1787,Provice21,Region6,Tender Type1,36,Presentation9,2009-01-01
185,864,Account35,Molecule3,5.6585,Provice51,Region17,Tender Type1,36,Presentation11,2008-01-31
186,865,Account89,Molecule3,5.65,Provice35,Region19,Tender Type1,36,Presentation11,2008-01-02
187,866,Account58,Molecule3,5.6585,Provice1,Region1,Tender Type1,24,Presentation11,2008-01-04
188,867,Account58,Molecule3,5.6585,Provice1,Region1,Tender Type1,24,Presentation11,2008-01-04
189,868,Account16,Molecule3,5.65,Provice1,Region1,Tender Type4,36,Presentation11,2008-01-05
190,869,Account80,Molecule3,5.6585,Provice24,Region1,Tender Type1,36,Presentation11,2008-01-07
191,870,Account103,Molecule3,5.6585,Provice22,Region5,Tender Type1,36,Presentation11,2008-02-07
192,871,Account17,Molecule3,5.6585,Provice22,Region5,Tender Type1,48,Presentation11,2008-11-09
193,872,Account5,Molecule3,5.6585,Provice36,Region1,Tender Type1,36,Presentation11,2008-09-15
194,873,Account56,Molecule3,5.658,Provice3,Region3,Tender Type1,12,Presentation11,2008-09-18
195,874,Account119,Molecule3,5.6585,Provice13,Region10,Tender Type1,24,Presentation11,2008-09-26
196,875,Account72,Molecule3,5.659,Provice37,Region5,Tender Type1,36,Presentation11,2008-01-10
197,876,Account55,Molecule3,5.6585,Provice38,Region19,Tender Type1,36,Presentation11,2008-10-23
198,877,Account71,Molecule3,5.6585,Provice39,Region14,Tender Type1,36,Presentation11,2008-01-11
199,878,Account10,Molecule3,5.6585,Provice24,Region1,Tender Type1,36,Presentation11,2009-01-01
200,879,Account39,Molecule3,5.6585,Provice2,Region2,Tender Type1,36,Presentation11,2009-01-01
201,880,Account78,Molecule3,5.6585,Provice40,Region16,Tender Type4,12,Presentation11,2009-01-01
