,ID,Account,Molecule,Winning_price_per_standard_unit,Province,Region,Tender_Type,Length_of_contract_in_Months,Presentation,Start_date
468,1663,Account69,Molecule5,3.04107,Provice48,Region2,Tender Type2,12,Presentation15,2010-01-01
469,1664,Account94,Molecule5,3.04107,Provice47,Region6,Tender Type1,36,Presentation15,2010-01-10
470,1665,Account9,Molecule5,3.04107,Provice33,Region1,Tender Type1,36,Presentation15,2010-01-11
471,1666,Account57,Molecule5,2.888,Provice23,Region10,Tender Type1,36,Presentation15,2010-01-12
472,1667,Account27,Molecule5,3.04,Provice14,Region12,Tender Type1,36,Presentation15,2011-01-02
473,1668,Account4,Molecule5,3.04107,Provice2,Region2,Tender Type2,4,Presentation15,2011-01-03
474,1669,Account91,Molecule5,3.04107,Provice10,Region9,Tender Type1,12,Presentation15,2011-01-03
475,1670,Account60,Molecule5,3.0409,Provice55,Region1,Tender Type4,36,Presentation15,2011-01-05
477,1672,Account19,Molecule5,3.04,Provice5,Region1,Tender Type3,46,Presentation15,2011-01-07
480,1675,Account8,Molecule5,2.888,Provice1,Region1,Tender Type4,12,Presentation15,2011-01-12
533,1821,Account69,Molecule5,1.52035,Provice48,Region2,Tender Type2,12,Presentation16,2010-01-01
534,1822,Account94,Molecule5,1.5203,Provice47,Region6,Tender Type1,36,Presentation16,2010-01-10
535,1823,Account9,Molecule5,1.5203,Provice33,Region1,Tender Type1,36,Presentation16,2010-01-11
536,1824,Account57,Molecule5,1.444,Provice23,Region10,Tender Type1,36,Presentation16,2010-01-12
537,1825,Account27,Molecule5,1.5203,Provice14,Region12,Tender Type1,36,Presentation16,2011-01-02
538,1826,Account4,Molecule5,1.5203,Provice2,Region2,Tender Type2,4,Presentation16,2011-01-03
539,1827,Account60,Molecule5,1.5202,Provice55,Region1,Tender Type4,36,Presentation16,2011-01-05
541,1829,Account19,Molecule5,1.5203,Provice5,Region1,Tender Type3,46,Presentation16,2011-01-07
542,1830,Account80,Molecule5,1.5203,Provice24,Region1,Tender Type1,36,Presentation16,2011-01-07
596,1978,Account69,Molecule5,3.04107,Provice48,Region2,Tender Type2,12,Presentation17,2010-01-01
597,1979,Account15,Molecule5,3.04107,Provice10,Region9,Tender Type1,24,Presentation17,2010-01-03
598,1980,Account94,Molecule5,3.04107,Provice47,Region6,Tender Type1,36,Presentation17,2010-01-10
599,1981,Account108,Molecule5,2.9957,Provice4,Region4,Tender Type1,36,Presentation17,2010-10-28
600,1982,Account104,Molecule5,1.01678,Provice1,Region1,Tender Type1,36,Presentation17,2010-01-11
601,1983,Account57,Molecule5,2.888,Provice23,Region10,Tender Type1,36,Presentation17,2010-01-12
602,1984,Account27,Molecule5,3.04,Provice14,Region12,Tender Type1,36,Presentation17,2011-01-02
603,1985,Account91,Molecule5,3.04107,Provice10,Region9,Tender Type1,12,Presentation17,2011-01-03
607,1989,Account19,Molecule5,3.04,Provice5,Region1,Tender Type3,46,Presentation17,2011-01-07
658,2159,Account69,Molecule5,0.76035,Provice48,Region2,Tender Type2,12,Presentation18,2010-01-01
659,2160,Account15,Molecule5,0.7603,Provice10,Region9,Tender Type1,24,Presentation18,2010-01-03
660,2161,Account94,Molecule5,0.76,Provice47,Region6,Tender Type1,36,Presentation18,2010-01-10
661,2162,Account108,Molecule5,0.7489,Provice4,Region4,Tender Type1,36,Presentation18,2010-10-28
662,2163,Account57,Molecule5,0.7225,Provice23,Region10,Tender Type1,36,Presentation18,2010-01-12
663,2164,Account104,Molecule5,0.25428,Provice1,Region1,Tender Type1,12,Presentation18,2010-12-16
664,2165,Account27,Molecule5,0.76,Provice14,Region12,Tender Type1,36,Presentation18,2011-01-02
665,2166,Account4,Molecule5,0.7603,Provice2,Region2,Tender Type2,4,Presentation18,2011-01-03
723,2346,Account69,Molecule5,1.52035,Provice48,Region2,Tender Type2,12,Presentation19,2010-01-01
724,2347,Account15,Molecule5,1.5203,Provice10,Region9,Tender Type1,24,Presentation19,2010-01-03
725,2348,Account94,Molecule5,1.5203,Provice47,Region6,Tender Type1,36,Presentation19,2010-01-10
726,2349,Account108,Molecule5,1.4975,Provice4,Region4,Tender Type1,36,Presentation19,2010-10-28
727,2350,Account57,Molecule5,1.444,Provice23,Region10,Tender Type1,36,Presentation19,2010-01-12
728,2351,Account104,Molecule5,0.50821,Provice1,Region1,Tender Type1,12,Presentation19,2010-12-16
729,2352,Account15,Molecule5,1.5203,Provice10,Region9,Tender Type1,14,Presentation19,2011-01-02
730,2353,Account27,Molecule5,1.5203,Provice14,Region12,Tender Type1,36,Presentation19,2011-01-02
